track_id,name,artist,album,popularity,duration_ms,explicit,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_min,year,mood,tempo_category,image_url,preview_url,external_url
2qLMf6TuEC3ruGJg4SMMN6,Lucky,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,68,189613,False,acoustic,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,4,3.1602166666666665,2023,Happy & Calm,Fast,https://i.scdn.co/image/ab67616d0000b27333091fbb40edc2249e682bf2,,https://open.spotify.com/track/2qLMf6TuEC3ruGJg4SMMN6
6CgNoAbFJ4Q4Id4EjtbXlC,Photograph,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 4",67,260186,False,acoustic,0.717,0.32,3,-8.393,1,0.0283,0.83,0.0,0.107,0.322,107.946,4,4.336433333333333,2023,Sad & Calm,Medium,https://i.scdn.co/image/ab67616d0000b273eb52107a749a04b3741316dc,,https://open.spotify.com/track/6CgNoAbFJ4Q4Id4EjtbXlC
3S0OXQeoh0w6AY8WQVckRW,I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things.,75,242946,False,acoustic,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,4,4.0491,2023,Happy & Calm,Fast,https://i.scdn.co/image/ab67616d0000b27333091fbb40edc2249e682bf2,,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
210JCw2LbYD4YIs8GiZ9iP,Demons,Boyce Avenue;Jennel Garcia,"Cover Sessions, Vol. 3",63,174174,False,acoustic,0.678,0.351,0,-8.654,1,0.0266,0.747,0.0,0.355,0.569,90.032,4,2.9029,2023,Neutral & Calm,Medium,https://i.scdn.co/image/ab67616d0000b27347ca192bbc880e09dd212322,,https://open.spotify.com/track/210JCw2LbYD4YIs8GiZ9iP
5TvE3pk05pyFIGdSY9j4DJ,Say Something,A Great Big World;Christina Aguilera,Is There Anybody Out There? - Track by Track Commentary,70,229400,False,acoustic,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3,3.823333333333333,2023,Sad & Calm,Fast,https://i.scdn.co/image/ab67616d0000b2739e2acbb00244d6da17edb0cf,,https://open.spotify.com/track/5TvE3pk05pyFIGdSY9j4DJ
72xTsTouZ5nBmASX8k1XCW,Trampoline - Acoustic,Highland Peak,Trampoline (Acoustic),46,213098,False,acoustic,0.596,0.2,0,-10.424,0,0.0305,0.91,0.000183,0.0884,0.308,107.893,4,3.551633333333333,2023,Sad & Calm,Medium,https://i.scdn.co/image/ab67616d0000b273ff41711bbbc02d1df9202150,,https://open.spotify.com/track/72xTsTouZ5nBmASX8k1XCW
3ILmwMefYZoQh5Cf5jeuUQ,透明だった世界,Motohiro Hata,Documentary,61,232360,False,acoustic,0.373,0.914,0,-4.185,1,0.0565,0.076,0.0,0.669,0.56,168.21,4,3.8726666666666665,2023,Neutral & Energetic,Fast,https://i.scdn.co/image/ab67616d0000b273d465dc991a0d81dc6b541f4f,,https://open.spotify.com/track/3ILmwMefYZoQh5Cf5jeuUQ
2DHDuADAHoUW6n0z80RLQF,Pieces,Andrew Belle,Black Bear,60,241119,False,acoustic,0.494,0.652,6,-5.863,0,0.0314,0.0754,0.00256,0.125,0.298,137.018,4,4.01865,2023,Sad & Energetic,Fast,https://i.scdn.co/image/ab67616d0000b27341b7816b18a155061e097c7d,,https://open.spotify.com/track/2DHDuADAHoUW6n0z80RLQF
5JDcQAztvZTIkrWoZihgvC,A Drop in the Ocean,Ron Pope,The Bedroom Demos,68,220239,False,acoustic,0.447,0.393,5,-8.65,1,0.038,0.785,0.0,0.28,0.564,73.139,3,3.67065,2023,Neutral & Calm,Slow,https://i.scdn.co/image/ab67616d0000b273b328f8e8e0cd4dcbbae6f43a,,https://open.spotify.com/track/5JDcQAztvZTIkrWoZihgvC
2sYFi9xVSZ56WHKSY2fN1K,So Far Away - Acoustic,Adam Christopher,So Far Away (Acoustic),52,171543,False,acoustic,0.576,0.331,6,-9.389,0,0.0306,0.894,3.44e-05,0.129,0.407,149.02,4,2.85905,2023,Neutral & Calm,Fast,https://i.scdn.co/image/ab67616d0000b27350a641fdf1ef61b35f90aef7,,https://open.spotify.com/track/2sYFi9xVSZ56WHKSY2fN1K
6xJOhSm4SvZwzy3uhWz26O,The Enemy,Andrew Belle,Black Bear,62,286865,False,acoustic,0.536,0.89,1,-5.222,1,0.0375,0.078,0.0202,0.131,0.273,121.974,4,4.781083333333333,2023,Sad & Energetic,Fast,https://i.scdn.co/image/ab67616d0000b27341b7816b18a155061e097c7d,,https://open.spotify.com/track/6xJOhSm4SvZwzy3uhWz26O
7lLKxcNeJtDTWVRKHovLEC,Build It Better,Aron Wright,Build It Better,51,234473,False,acoustic,0.526,0.333,4,-13.02,1,0.0314,0.91,0.168,0.111,0.159,94.951,4,3.907883333333333,2023,Sad & Calm,Medium,https://i.scdn.co/image/ab67616d0000b2735725506f108b0d72912d60f7,,https://open.spotify.com/track/7lLKxcNeJtDTWVRKHovLEC
4oa14QBfWRDfJy2agySy0L,Gravity,Sara Bareilles,Little Voice,67,232760,False,acoustic,0.27,0.275,0,-10.357,1,0.0356,0.834,0.0,0.146,0.231,168.964,4,3.879333333333333,2023,Sad & Calm,Fast,https://i.scdn.co/image/ab67616d0000b273e22c31d1080a037ed96b32ef,,https://open.spotify.com/track/4oa14QBfWRDfJy2agySy0L
2gRKq9rIC5i1zuxp06zJWH,What's Left of You,Chord Overstreet,What's Left of You,57,178600,True,acoustic,0.731,0.507,0,-6.477,1,0.046,0.572,0.0,0.0912,0.265,117.969,4,2.9766666666666666,2023,Sad & Calm,Medium,https://i.scdn.co/image/ab67616d0000b27331c214e08c723885ab1ac7aa,,https://open.spotify.com/track/2gRKq9rIC5i1zuxp06zJWH
08MFgEQeVLF37EyZ7jcwLc,Pano,Zack Tabudlo,Pano,75,254400,False,acoustic,0.375,0.457,3,-7.018,1,0.0315,0.868,0.0145,0.191,0.415,174.839,3,4.24,2023,Neutral & Calm,Fast,https://i.scdn.co/image/ab67616d0000b2738c6111f0717dd3d85fdcbafd,,https://open.spotify.com/track/08MFgEQeVLF37EyZ7jcwLc
6nXIYClvJAfi6ujLiKqEq8,Sky's Still Blue,Andrew Belle,The Daylight EP,62,244320,False,acoustic,0.43,0.791,6,-5.419,0,0.0302,0.0726,0.0193,0.11,0.217,171.864,4,4.072,2023,Sad & Energetic,Fast,https://i.scdn.co/image/ab67616d0000b273a405e255aa03ba251e9cb314,,https://open.spotify.com/track/6nXIYClvJAfi6ujLiKqEq8
7x4b0UccXSKBWxWmjcrG2T,And I Love Her,Kurt Cobain,Montage Of Heck: The Home Recordings,66,124933,False,acoustic,0.616,0.282,1,-15.317,1,0.0331,0.983,0.833,0.13,0.435,96.638,4,2.0822166666666666,2023,Neutral & Calm,Medium,https://i.scdn.co/image/ab67616d0000b273a4c50ce025b39993dea03d71,,https://open.spotify.com/track/7x4b0UccXSKBWxWmjcrG2T
6owKuyHxUqidcAA6fPKSyy,We Can't Stop,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 3",64,222146,False,acoustic,0.705,0.347,2,-8.249,1,0.0301,0.674,0.0,0.12,0.36,80.057,4,3.7024333333333335,2023,Sad & Calm,Medium,https://i.scdn.co/image/ab67616d0000b27347ca192bbc880e09dd212322,,https://open.spotify.com/track/6owKuyHxUqidcAA6fPKSyy
0wbmIfvndFV9VDvuUY1pYN,Always Be My Baby,Tim Halperin,Covers,62,181852,False,acoustic,0.582,0.255,4,-10.254,1,0.0306,0.772,0.0,0.0889,0.285,139.884,4,3.030866666666667,2023,Sad & Calm,Fast,https://i.scdn.co/image/ab67616d0000b2733fdbaaf171325ed0613cd0ab,,https://open.spotify.com/track/0wbmIfvndFV9VDvuUY1pYN
3e5yu9MkIvQx17mm7LF6KY,Alone with You,Canyon City,Midnight Waves,58,186584,False,acoustic,0.549,0.274,1,-12.565,1,0.0379,0.798,6.63e-06,0.103,0.207,86.664,4,3.109733333333333,2023,Sad & Calm,Medium,https://i.scdn.co/image/ab67616d0000b27328104c19d0eeaf25aff4f4cb,,https://open.spotify.com/track/3e5yu9MkIvQx17mm7LF6KY
6VwAh8Z1d5YKoSWoEaV4db,Making All Things New,Aaron Espe,Making All Things New,65,159600,False,acoustic,0.787,0.355,0,-11.429,1,0.0288,0.896,0.0201,0.111,0.48,99.978,4,2.66,2023,Neutral & Calm,Medium,https://i.scdn.co/image/ab67616d0000b2730b856298b366673e668cd5b0,,https://open.spotify.com/track/6VwAh8Z1d5YKoSWoEaV4db
2D4BSm5Z8Hq5zYbSgJwEOh,She Used To Be Mine,Sara Bareilles,What's Inside: Songs from Waitress,67,250266,False,acoustic,0.397,0.303,5,-7.508,1,0.0435,0.381,0.0,0.101,0.172,81.05,4,4.1711,2023,Sad & Calm,Medium,https://i.scdn.co/image/ab67616d0000b273790b4fc9cda512fa83fffd36,,https://open.spotify.com/track/2D4BSm5Z8Hq5zYbSgJwEOh
7LwGBxB0h0CVmkOZxYKn0g,In My Veins - Feat. Erin Mccarley,Andrew Belle,In My Veins (Feat. Erin Mccarley),65,318908,False,acoustic,0.548,0.42,0,-7.842,1,0.0277,0.198,4.46e-06,0.0899,0.196,128.012,4,5.315133333333334,2023,Sad & Calm,Fast,https://i.scdn.co/image/ab67616d0000b27365416754e4cf28aa3ed55a53,,https://open.spotify.com/track/7LwGBxB0h0CVmkOZxYKn0g
0ZwdH0m32I8odedwvspYTh,I Don't Wanna Live Forever (Fifty Shades Darker),Tyler Ward,Under Covers,44,222351,False,acoustic,0.787,0.403,0,-11.989,1,0.033,0.603,0.00857,0.131,0.264,118.042,4,3.70585,2023,Sad & Calm,Medium,https://i.scdn.co/image/ab67616d0000b27324612697b3810c994326c0e5,,https://open.spotify.com/track/0ZwdH0m32I8odedwvspYTh
16dkWKIlBsfYTISCVuDs0w,A Drop In the Ocean,Ron Pope,Whatever It Takes,55,219480,False,acoustic,0.484,0.573,5,-6.183,1,0.0298,0.0882,1.14e-06,0.15,0.346,139.966,3,3.658,2023,Sad & Calm,Fast,https://i.scdn.co/image/ab67616d0000b2730f924c7543855ca4109c7ad7,,https://open.spotify.com/track/16dkWKIlBsfYTISCVuDs0w
3TwtrR1yNLY1PMPsrGQpOp,Superman (It's Not Easy),Five For Fighting,America Town,70,221693,False,acoustic,0.382,0.416,0,-9.303,1,0.0302,0.0733,0.0,0.0719,0.125,102.089,4,3.694883333333333,2023,Sad & Calm,Medium,https://i.scdn.co/image/ab67616d0000b273511daec815cea23d82cc5151,,https://open.spotify.com/track/3TwtrR1yNLY1PMPsrGQpOp
3Et4LKZLnXygPYfNdeB3D3,When the End Comes,Andrew Belle,Dive Deep,57,354400,False,acoustic,0.541,0.575,9,-9.463,1,0.0491,0.677,0.215,0.102,0.428,91.98,4,5.906666666666666,2023,Neutral & Calm,Medium,https://i.scdn.co/image/ab67616d0000b273b348d509e079543f724bb760,,https://open.spotify.com/track/3Et4LKZLnXygPYfNdeB3D3
2E9viCx0hJKNKNThd2MdGQ,You're Still The One,Bailey Jehl,You're Still The One,56,177500,False,acoustic,0.607,0.473,2,-8.555,1,0.034,0.712,0.0,0.66,0.54,119.698,4,2.958333333333333,2023,Neutral & Calm,Medium,https://i.scdn.co/image/ab67616d0000b273ca861e8289ccabcfd8b80b34,,https://open.spotify.com/track/2E9viCx0hJKNKNThd2MdGQ
0Zf1BPkkFAWGtVHeBwHHz4,Light Me Up,Ingrid Michaelson,It Doesn't Have To Make Sense,56,247840,False,acoustic,0.417,0.595,6,-7.84,1,0.0396,0.158,0.000269,0.101,0.117,147.928,4,4.1306666666666665,2023,Sad & Calm,Fast,https://i.scdn.co/image/ab67616d0000b273d35eb81a2577dbdde12dd985,,https://open.spotify.com/track/0Zf1BPkkFAWGtVHeBwHHz4
38jy6kRlPt8z1GUS9WXeNh,93 Million Miles,Jason Mraz,Love Is a Four Letter Word,67,216386,False,acoustic,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,4,3.606433333333333,2023,Neutral & Calm,Fast,https://i.scdn.co/image/ab67616d0000b2733f1ceb305415a090c0885986,,https://open.spotify.com/track/38jy6kRlPt8z1GUS9WXeNh
2SkJKMfjpYsNv0KWOxiegX,Kaleidoscope,A Great Big World,When the Morning Comes,62,229320,False,acoustic,0.709,0.913,7,-5.148,1,0.0748,0.0182,0.0,0.167,0.519,108.024,4,3.822,2023,Neutral & Energetic,Medium,https://i.scdn.co/image/ab67616d0000b27361ef9da3125eab14e2ed8fe6,,https://open.spotify.com/track/2SkJKMfjpYsNv0KWOxiegX
4qCbMMMuEB56kHd4zPE6GD,The Long Road,Eddie Vedder;Nusrat Fateh Ali Khan,"Eat, Pray, Love",45,330933,False,acoustic,0.537,0.342,2,-13.553,1,0.0273,0.645,0.266,0.0687,0.253,109.236,4,5.51555,2023,Sad & Calm,Medium,https://i.scdn.co/image/ab67616d0000b273426288df0f8a68ea555c8d97,,https://open.spotify.com/track/4qCbMMMuEB56kHd4zPE6GD
11TK5KLtLZUdKr1C549bAw,What Would I Do Without You,Drew Holcomb & The Neighbors,Good Light,64,172213,False,acoustic,0.602,0.336,8,-11.106,1,0.0369,0.883,0.0017,0.143,0.335,90.894,4,2.870216666666667,2023,Sad & Calm,Medium,https://i.scdn.co/image/ab67616d0000b2739bedb4fd1002d517acce89bd,,https://open.spotify.com/track/11TK5KLtLZUdKr1C549bAw
7BXW1QCg56yzEBV8pW8pah,Have It All,Jason Mraz,Know.,65,226106,False,acoustic,0.643,0.638,1,-4.947,0,0.0407,0.204,0.0,0.0707,0.6,82.001,4,3.768433333333333,2023,Neutral & Energetic,Medium,https://i.scdn.co/image/ab67616d0000b2731b84102f154deb7a798ed372,,https://open.spotify.com/track/7BXW1QCg56yzEBV8pW8pah
3bHhUEOTIbezeZ856R0BX5,Society,Eddie Vedder,Into The Wild (Music For The Motion Picture),68,236306,False,acoustic,0.561,0.327,11,-10.835,0,0.0327,0.902,0.000469,0.111,0.298,161.858,4,3.938433333333333,2023,Sad & Calm,Fast,https://i.scdn.co/image/ab67616d0000b2733ed52339ae78ac1b695e8d80,,https://open.spotify.com/track/3bHhUEOTIbezeZ856R0BX5
4LGF2tDg3878bs0mQPByZ4,Guaranteed,Eddie Vedder,Into The Wild (Music For The Motion Picture),61,164500,False,acoustic,0.436,0.4,7,-11.485,1,0.0272,0.904,0.00105,0.125,0.351,100.734,4,2.7416666666666667,2023,Sad & Calm,Medium,https://i.scdn.co/image/ab67616d0000b2733ed52339ae78ac1b695e8d80,,https://open.spotify.com/track/4LGF2tDg3878bs0mQPByZ4
6Uy6K3KdmUdAfelUp0SeXn,Brave,Sara Bareilles,The Blessed Unrest,70,220573,False,acoustic,0.551,0.836,10,-3.838,0,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063,4,3.6762166666666665,2023,Happy & Energetic,Fast,https://i.scdn.co/image/ab67616d0000b2737ae14d8749608603d3567274,,https://open.spotify.com/track/6Uy6K3KdmUdAfelUp0SeXn
0qJGlogD7AyMLAJfQ42aI2,Heaven Knows,Five For Fighting,Bookmarks,62,210612,False,acoustic,0.6,0.845,10,-7.076,1,0.0311,0.048,0.0,0.24,0.392,97.631,4,3.5102,2023,Sad & Energetic,Medium,https://i.scdn.co/image/ab67616d0000b273a6da5aeed375aac9cb4f6a72,,https://open.spotify.com/track/0qJGlogD7AyMLAJfQ42aI2
0U32q8CZRRo7xCzyiaZw5f,Rain,Motohiro Hata,言ノ葉,58,293040,False,acoustic,0.626,0.655,9,-6.69,1,0.0263,0.503,0.0,0.13,0.542,92.003,4,4.884,2023,Neutral & Energetic,Medium,https://i.scdn.co/image/ab67616d0000b27304e19ad4ca55b5610363a6cd,,https://open.spotify.com/track/0U32q8CZRRo7xCzyiaZw5f
4kQXMVjoZ9yMibLZq5Aqi5,Somebody Else - Acoustic,Callum J Wright,Somebody Else (Acoustic),50,138495,False,acoustic,0.794,0.38,10,-8.769,0,0.0477,0.762,0.0,0.262,0.617,114.99,4,2.30825,2023,Happy & Calm,Medium,https://i.scdn.co/image/ab67616d0000b273839f7930f96bf38030b27165,,https://open.spotify.com/track/4kQXMVjoZ9yMibLZq5Aqi5
3us8sod4dLbM9FiMiPiEY8,Pieces (Hushed),Andrew Belle,Black Bear (Hushed),59,198626,False,acoustic,0.52,0.279,5,-10.739,0,0.0547,0.894,0.000105,0.103,0.0951,69.642,4,3.310433333333333,2023,Sad & Calm,Slow,https://i.scdn.co/image/ab67616d0000b273bb1bc6204596d67156338b77,,https://open.spotify.com/track/3us8sod4dLbM9FiMiPiEY8
1PR5pyPiOEEQ02oJYq402x,Mirrors,Boyce Avenue;Fifth Harmony,"Cover Sessions, Vol. 3",57,292566,False,acoustic,0.545,0.658,1,-7.174,1,0.0474,0.496,0.0,0.105,0.683,76.971,4,4.8761,2023,Happy & Energetic,Slow,https://i.scdn.co/image/ab67616d0000b27347ca192bbc880e09dd212322,,https://open.spotify.com/track/1PR5pyPiOEEQ02oJYq402x
068qo0w1Ki0cjnFYOUhAm2,Stand by Me,Boyce Avenue,Stand by Me,60,199019,False,acoustic,0.728,0.266,8,-7.322,1,0.0293,0.872,1.03e-05,0.114,0.307,115.189,4,3.3169833333333334,2023,Sad & Calm,Medium,https://i.scdn.co/image/ab67616d0000b273c2967bf838c6ea5ea77a3701,,https://open.spotify.com/track/068qo0w1Ki0cjnFYOUhAm2
2RFt6ZWQbr9mPhsft9u9eX,Losing Me,Gabrielle Aplin;JP Cooper,Dear Happy,61,181760,False,acoustic,0.66,0.407,7,-8.381,1,0.0571,0.236,0.0,0.109,0.257,133.86,4,3.029333333333333,2023,Sad & Calm,Fast,https://i.scdn.co/image/ab67616d0000b27387d5db6a5d8d8e2ba1378593,,https://open.spotify.com/track/2RFt6ZWQbr9mPhsft9u9eX
59pUIlXjQupbiYwt40uUTi,なんでもないや - movie ver.,Mone Kamishiraishi,chouchou,49,349920,False,acoustic,0.357,0.161,8,-10.667,1,0.0388,0.971,1.4e-05,0.358,0.325,83.449,4,5.832,2023,Sad & Calm,Medium,https://i.scdn.co/image/ab67616d0000b273e398a4b52fad6e244772a8f6,,https://open.spotify.com/track/59pUIlXjQupbiYwt40uUTi
0VhZ5JYfqPojSYeGWnk4dL,You’re Beautiful - Acoustic,John Adams,You’re Beautiful (Acoustic),55,204973,False,acoustic,0.479,0.154,2,-11.282,1,0.0352,0.915,0.0,0.0974,0.36,147.207,4,3.4162166666666667,2023,Sad & Calm,Fast,https://i.scdn.co/image/ab67616d0000b273d3b44783d91a371bc101975d,,https://open.spotify.com/track/0VhZ5JYfqPojSYeGWnk4dL
0ltIx8PLjtWoS9zn9PqsZW,Hikare Inochi,Kitri,Hikare Inochi,51,322146,False,acoustic,0.592,0.769,2,-5.268,1,0.0311,0.319,4.66e-06,0.137,0.385,102.033,4,5.3691,2023,Sad & Energetic,Medium,https://i.scdn.co/image/ab67616d0000b2732032163d21b2184716969913,,https://open.spotify.com/track/0ltIx8PLjtWoS9zn9PqsZW
7ACW42whcdOiUxiNVu7ltx,How To Lose a Girl,Tyler Ward,Songs From Nashville,46,210375,False,acoustic,0.7,0.454,7,-10.39,0,0.0388,0.55,0.0022,0.121,0.34,80.011,3,3.50625,2023,Sad & Calm,Medium,https://i.scdn.co/image/ab67616d0000b27322b4e340c347f934e58c1fa0,,https://open.spotify.com/track/7ACW42whcdOiUxiNVu7ltx
4qTHoIp62ngNDpUJwW3hZ7,Can’t Help Falling in Love,Boyce Avenue,"Cover Sessions, Vol. 6",57,131000,False,acoustic,0.402,0.197,5,-10.775,1,0.0295,0.858,1.05e-06,0.114,0.148,100.044,3,2.183333333333333,2023,Sad & Calm,Medium,https://i.scdn.co/image/ab67616d0000b273ace4d9ab4b163d047af84d34,,https://open.spotify.com/track/4qTHoIp62ngNDpUJwW3hZ7
